DataSeries,year_month,arrivals
Middle East,2023-05,67704
Oceania,2023-05,276655
Germany,2023-05,37987
Europe,2023-05,178465
France,2023-05,20845
United Kingdom,2023-05,50777
North America,2023-05,58215
Number Of Air Passenger Arrivals,2023-04,2304751
South East Asia,2023-04,999423
Vietnam,2023-04,105687
Indonesia,2023-04,262495
Other Regions,2023-04,8259
Malaysia,2023-04,261045
Philippines,2023-04,115838
Thailand,2023-04,208237
North East Asia,2023-04,484730
Mainland China,2023-04,126550
Hong Kong,2023-04,76541
Japan,2023-04,117712
South Asia,2023-04,260344
Middle East,2023-04,60304
Oceania,2023-04,269449
Germany,2023-04,37972
Europe,2023-04,173655
France,2023-04,20337
United Kingdom,2023-04,49612
North America,2023-04,48587
Number Of Air Passenger Arrivals,2023-03,2294797
South East Asia,2023-03,1015324
Vietnam,2023-03,110179
Indonesia,2023-03,253733
Other Regions,2023-03,7310
Malaysia,2023-03,258302
Philippines,2023-03,118229
Thailand,2023-03,228228
North East Asia,2023-03,439060
Mainland China,2023-03,90156
Hong Kong,2023-03,73512
Japan,2023-03,115050
South Asia,2023-03,256815
Middle East,2023-03,76415
Oceania,2023-03,264789
Germany,2023-03,41603
Europe,2023-03,184712
France,2023-03,19812
United Kingdom,2023-03,55242
North America,2023-03,50372
Number Of Air Passenger Arrivals,2023-02,1998306
South East Asia,2023-02,900278
Vietnam,2023-02,102251
Indonesia,2023-02,215290
Other Regions,2023-02,5955
Malaysia,2023-02,235207
Philippines,2023-02,108926
Thailand,2023-02,196200
North East Asia,2023-02,352672
Mainland China,2023-02,50983
Hong Kong,2023-02,59409
Japan,2023-02,101878
South Asia,2023-02,237581
Middle East,2023-02,65818
Oceania,2023-02,219120
Germany,2023-02,40824
Europe,2023-02,172671
France,2023-02,19287
United Kingdom,2023-02,49882
North America,2023-02,44211
Number Of Air Passenger Arrivals,2023-01,2254509
South East Asia,2023-01,990177
Vietnam,2023-01,103236
Indonesia,2023-01,237294
Other Regions,2023-01,7564
Malaysia,2023-01,250687
Philippines,2023-01,135480
Thailand,2023-01,218226
North East Asia,2023-01,377724
Mainland China,2023-01,36744
Hong Kong,2023-01,56563
Japan,2023-01,110117
South Asia,2023-01,262870
Middle East,2023-01,83329
Oceania,2023-01,276198
Germany,2023-01,46651
Europe,2023-01,200543
France,2023-01,23143
United Kingdom,2023-01,58315
North America,2023-01,56104
Number Of Air Passenger Arrivals,2022-12,2302447
South East Asia,2022-12,1031888
Vietnam,2022-12,111769
Indonesia,2022-12,259138
Other Regions,2022-12,7675
Malaysia,2022-12,281272
Philippines,2022-12,107416
Thailand,2022-12,225584
North East Asia,2022-12,352631
Mainland China,2022-12,24083
Hong Kong,2022-12,48912
Japan,2022-12,119750
South Asia,2022-12,245564
Middle East,2022-12,94090
Oceania,2022-12,302629
Germany,2022-12,46439
Europe,2022-12,204605
France,2022-12,25551
United Kingdom,2022-12,60069
North America,2022-12,63365
Number Of Air Passenger Arrivals,2022-11,1922090
South East Asia,2022-11,869489
Vietnam,2022-11,93847
Indonesia,2022-11,213017
Other Regions,2022-11,6716
Malaysia,2022-11,220371
Philippines,2022-11,104626
Thailand,2022-11,194279
North East Asia,2022-11,247593
Mainland China,2022-11,17880
Hong Kong,2022-11,30756
Japan,2022-11,83424
South Asia,2022-11,222583
Middle East,2022-11,71101
Oceania,2022-11,265382
Germany,2022-11,43500
Europe,2022-11,186000
France,2022-11,21438
United Kingdom,2022-11,54712
North America,2022-11,53226
Number Of Air Passenger Arrivals,2022-10,1823550
South East Asia,2022-10,860841
Vietnam,2022-10,98211
Indonesia,2022-10,206049
Other Regions,2022-10,7728
Malaysia,2022-10,222403
Philippines,2022-10,107655
Thailand,2022-10,188712
North East Asia,2022-10,183577
Mainland China,2022-10,15965
Hong Kong,2022-10,23769
Japan,2022-10,55696
South Asia,2022-10,221599
Middle East,2022-10,72937
Oceania,2022-10,233455
Germany,2022-10,46194
Europe,2022-10,194413
France,2022-10,19933
United Kingdom,2022-10,51493
North America,2022-10,49000
Number Of Air Passenger Arrivals,2022-09,1720124
South East Asia,2022-09,804101
Vietnam,2022-09,93753
Indonesia,2022-09,193038
Other Regions,2022-09,7314
Malaysia,2022-09,215577
Philippines,2022-09,97723
Thailand,2022-09,168072
North East Asia,2022-09,150840
Mainland China,2022-09,15467
Hong Kong,2022-09,22869
Japan,2022-09,41836
South Asia,2022-09,224959
Middle East,2022-09,68579
Oceania,2022-09,241033
Germany,2022-09,42644
Europe,2022-09,178603
France,2022-09,17955
United Kingdom,2022-09,48256
North America,2022-09,44695
Number Of Air Passenger Arrivals,2022-08,1668806
South East Asia,2022-08,783387
Vietnam,2022-08,102171
Indonesia,2022-08,173840
Other Regions,2022-08,7377
Malaysia,2022-08,202616
Philippines,2022-08,103356
Thailand,2022-08,162275
North East Asia,2022-08,140480
Mainland China,2022-08,14540
Hong Kong,2022-08,16063
Japan,2022-08,45373
South Asia,2022-08,224590
Middle East,2022-08,64417
Oceania,2022-08,224325
Germany,2022-08,43953
Europe,2022-08,179476
France,2022-08,17072
United Kingdom,2022-08,48141
North America,2022-08,44754
Number Of Air Passenger Arrivals,2022-07,1671555
South East Asia,2022-07,756737
Vietnam,2022-07,100436
Indonesia,2022-07,157162
Other Regions,2022-07,7521
Malaysia,2022-07,199936
Philippines,2022-07,102796
Thailand,2022-07,154381
North East Asia,2022-07,138603
Mainland China,2022-07,14431
Hong Kong,2022-07,19371
Japan,2022-07,36276
South Asia,2022-07,228881
Middle East,2022-07,65591
Oceania,2022-07,236803
Germany,2022-07,41677
Europe,2022-07,183729
France,2022-07,18479
United Kingdom,2022-07,51459
North America,2022-07,53690
Number Of Air Passenger Arrivals,2022-06,1470490
South East Asia,2022-06,676073
Vietnam,2022-06,85804
Indonesia,2022-06,147532
Other Regions,2022-06,6571
Malaysia,2022-06,183269
Philippines,2022-06,90171
Thailand,2022-06,132875
North East Asia,2022-06,100397
Mainland China,2022-06,10654
Hong Kong,2022-06,15115
Japan,2022-06,27006
South Asia,2022-06,206325
Middle East,2022-06,41829
Oceania,2022-06,231599
Germany,2022-06,34990
Europe,2022-06,154865
France,2022-06,15732
United Kingdom,2022-06,42559
North America,2022-06,52831
Number Of Air Passenger Arrivals,2022-05,1233581
South East Asia,2022-05,570605
Vietnam,2022-05,68071
Indonesia,2022-05,133653
Other Regions,2022-05,5398
Malaysia,2022-05,150303
Philippines,2022-05,77598
Thailand,2022-05,108138
North East Asia,2022-05,74022
Mainland China,2022-05,8605
Hong Kong,2022-05,11563
Japan,2022-05,20934
South Asia,2022-05,205407
Middle East,2022-05,35026
Oceania,2022-05,170299
Germany,2022-05,27476
Europe,2022-05,125122
France,2022-05,11374
United Kingdom,2022-05,31968
North America,2022-05,47702
Number Of Air Passenger Arrivals,2022-04,965450
South East Asia,2022-04,391442
Vietnam,2022-04,49462
Indonesia,2022-04,96579
Other Regions,2022-04,5760
Malaysia,2022-04,90820
Philippines,2022-04,57300
Thailand,2022-04,65952
North East Asia,2022-04,58864
Mainland China,2022-04,6530
Hong Kong,2022-04,11761
Japan,2022-04,17705
South Asia,2022-04,167576
Middle East,2022-04,24357
Oceania,2022-04,168856
Germany,2022-04,25783
Europe,2022-04,113167
France,2022-04,9299
United Kingdom,2022-04,29953
North America,2022-04,35428
Number Of Air Passenger Arrivals,2022-03,568945
South East Asia,2022-03,203489
Vietnam,2022-03,17128
Indonesia,2022-03,37448
Other Regions,2022-03,3318
Malaysia,2022-03,57463
Philippines,2022-03,31175
Thailand,2022-03,37158
North East Asia,2022-03,45571
Mainland China,2022-03,7179
Hong Kong,2022-03,14314
Japan,2022-03,7839
South Asia,2022-03,103465
Middle East,2022-03,20971
Oceania,2022-03,82559
Germany,2022-03,16624
Europe,2022-03,82936
France,2022-03,8022
United Kingdom,2022-03,26429
North America,2022-03,26636
Number Of Air Passenger Arrivals,2022-02,365864
South East Asia,2022-02,125860
Vietnam,2022-02,10183
Indonesia,2022-02,20781
Other Regions,2022-02,1673
Malaysia,2022-02,45746
Philippines,2022-02,16888
Thailand,2022-02,17673
North East Asia,2022-02,38904
Mainland China,2022-02,9446
Hong Kong,2022-02,12670
Japan,2022-02,4990
South Asia,2022-02,66976
Middle East,2022-02,14753
Oceania,2022-02,41896
Germany,2022-02,9902
Europe,2022-02,57171
France,2022-02,7232
United Kingdom,2022-02,17254
North America,2022-02,18631
Number Of Air Passenger Arrivals,2022-01,393421
South East Asia,2022-01,107373
Vietnam,2022-01,5308
Indonesia,2022-01,16959
Other Regions,2022-01,805
Malaysia,2022-01,28834
Philippines,2022-01,12660
Thailand,2022-01,28604
North East Asia,2022-01,41343
Mainland China,2022-01,10625
Hong Kong,2022-01,7931
Japan,2022-01,8187
South Asia,2022-01,71618
Middle East,2022-01,18299
Oceania,2022-01,46965
Germany,2022-01,16643
Europe,2022-01,84137
France,2022-01,9294
United Kingdom,2022-01,24823
North America,2022-01,22881
Number Of Air Passenger Arrivals,2021-12,394269
South East Asia,2021-12,112451
Vietnam,2021-12,4745
Indonesia,2021-12,25439
Other Regions,2021-12,44
Malaysia,2021-12,44035
Philippines,2021-12,9787
Thailand,2021-12,15574
North East Asia,2021-12,33499
Mainland China,2021-12,8789
Hong Kong,2021-12,4208
Japan,2021-12,5121
South Asia,2021-12,74338
Middle East,2021-12,13695
Oceania,2021-12,58477
Germany,2021-12,16967
Europe,2021-12,80685
France,2021-12,8668
United Kingdom,2021-12,25654
North America,2021-12,21080
Number Of Air Passenger Arrivals,2021-11,184721
South East Asia,2021-11,57023
Vietnam,2021-11,3103
Indonesia,2021-11,14171
Other Regions,2021-11,1256
Malaysia,2021-11,12686
Philippines,2021-11,11348
Thailand,2021-11,7660
