DataSeries,year_month,arrivals
Japan,1983-05,18217
United Kingdom,1983-05,8430
Number Of Air Passenger Arrivals,1983-04,292871
Indonesia,1983-04,39362
Malaysia,1983-04,77561
Philippines,1983-04,11894
Thailand,1983-04,30699
Hong Kong,1983-04,26400
Japan,1983-04,16219
United Kingdom,1983-04,7733
Number Of Air Passenger Arrivals,1983-03,307881
Indonesia,1983-03,43016
Malaysia,1983-03,72952
Philippines,1983-03,13557
Thailand,1983-03,28276
Hong Kong,1983-03,27992
Japan,1983-03,24081
United Kingdom,1983-03,7726
Number Of Air Passenger Arrivals,1983-02,288663
Indonesia,1983-02,40001
Malaysia,1983-02,73357
Philippines,1983-02,12791
Thailand,1983-02,29537
Hong Kong,1983-02,25576
Japan,1983-02,21735
United Kingdom,1983-02,7538
Number Of Air Passenger Arrivals,1983-01,300961
Indonesia,1983-01,41548
Malaysia,1983-01,70092
Philippines,1983-01,13732
Thailand,1983-01,28431
Hong Kong,1983-01,24497
Japan,1983-01,20482
United Kingdom,1983-01,10653
Number Of Air Passenger Arrivals,1982-12,356712
Indonesia,1982-12,56136
Malaysia,1982-12,90618
Philippines,1982-12,13646
Thailand,1982-12,35390
Hong Kong,1982-12,32214
Japan,1982-12,18964
United Kingdom,1982-12,10297
Number Of Air Passenger Arrivals,1982-11,323149
Indonesia,1982-11,53033
Malaysia,1982-11,80886
Philippines,1982-11,13514
Thailand,1982-11,30025
Hong Kong,1982-11,29471
Japan,1982-11,20943
United Kingdom,1982-11,10618
Number Of Air Passenger Arrivals,1982-10,315451
Indonesia,1982-10,52717
Malaysia,1982-10,71266
Philippines,1982-10,13760
Thailand,1982-10,30373
Hong Kong,1982-10,30411
Japan,1982-10,19366
United Kingdom,1982-10,13022
Number Of Air Passenger Arrivals,1982-09,295237
Indonesia,1982-09,52338
Malaysia,1982-09,67067
Philippines,1982-09,11667
Thailand,1982-09,24015
Hong Kong,1982-09,25472
Japan,1982-09,19213
United Kingdom,1982-09,13178
Number Of Air Passenger Arrivals,1982-08,346210
Indonesia,1982-08,60690
Malaysia,1982-08,81356
Philippines,1982-08,13801
Thailand,1982-08,28639
Hong Kong,1982-08,30579
Japan,1982-08,25689
United Kingdom,1982-08,14656
Number Of Air Passenger Arrivals,1982-07,338064
Indonesia,1982-07,65416
Malaysia,1982-07,71336
Philippines,1982-07,12630
Thailand,1982-07,28369
Hong Kong,1982-07,31642
Japan,1982-07,20629
United Kingdom,1982-07,14789
Number Of Air Passenger Arrivals,1982-06,335718
Indonesia,1982-06,63710
Malaysia,1982-06,76434
Philippines,1982-06,13025
Thailand,1982-06,31612
Hong Kong,1982-06,31851
Japan,1982-06,19143
United Kingdom,1982-06,11515
Number Of Air Passenger Arrivals,1982-05,294788
Indonesia,1982-05,46328
Malaysia,1982-05,71153
Philippines,1982-05,14535
Thailand,1982-05,28138
Hong Kong,1982-05,26169
Japan,1982-05,17728
United Kingdom,1982-05,8230
Number Of Air Passenger Arrivals,1982-04,291148
Indonesia,1982-04,45030
Malaysia,1982-04,71647
Philippines,1982-04,12866
Thailand,1982-04,29610
Hong Kong,1982-04,26741
Japan,1982-04,16414
United Kingdom,1982-04,7192
Number Of Air Passenger Arrivals,1982-03,298032
Indonesia,1982-03,49186
Malaysia,1982-03,72004
Philippines,1982-03,13642
Thailand,1982-03,26730
Hong Kong,1982-03,25632
Japan,1982-03,23777
United Kingdom,1982-03,8167
Number Of Air Passenger Arrivals,1982-02,277433
Indonesia,1982-02,43516
Malaysia,1982-02,69397
Philippines,1982-02,13478
Thailand,1982-02,26790
Hong Kong,1982-02,23037
Japan,1982-02,21590
United Kingdom,1982-02,7520
Number Of Air Passenger Arrivals,1982-01,315469
Indonesia,1982-01,49334
Malaysia,1982-01,77597
Philippines,1982-01,14142
Thailand,1982-01,29642
Hong Kong,1982-01,29081
Japan,1982-01,18495
United Kingdom,1982-01,10898
Number Of Air Passenger Arrivals,1981-12,350941
Indonesia,1981-12,60786
Malaysia,1981-12,91283
Philippines,1981-12,14427
Thailand,1981-12,32039
Hong Kong,1981-12,29962
Japan,1981-12,19254
United Kingdom,1981-12,10485
Number Of Air Passenger Arrivals,1981-11,314739
Indonesia,1981-11,50491
Malaysia,1981-11,79244
Philippines,1981-11,13963
Thailand,1981-11,29512
Hong Kong,1981-11,29003
Japan,1981-11,20527
United Kingdom,1981-11,9481
Number Of Air Passenger Arrivals,1981-10,307745
Indonesia,1981-10,50693
Malaysia,1981-10,72082
Philippines,1981-10,13663
Thailand,1981-10,29764
Hong Kong,1981-10,29557
Japan,1981-10,17062
United Kingdom,1981-10,12184
Number Of Air Passenger Arrivals,1981-09,289059
Indonesia,1981-09,50127
Malaysia,1981-09,70172
Philippines,1981-09,11493
Thailand,1981-09,25085
Hong Kong,1981-09,24581
Japan,1981-09,17406
United Kingdom,1981-09,11919
Number Of Air Passenger Arrivals,1981-08,344177
Indonesia,1981-08,57598
Malaysia,1981-08,85624
Philippines,1981-08,12624
Thailand,1981-08,29434
Hong Kong,1981-08,31266
Japan,1981-08,25691
United Kingdom,1981-08,13877
Number Of Air Passenger Arrivals,1981-07,318493
Indonesia,1981-07,59956
Malaysia,1981-07,69496
Philippines,1981-07,11298
Thailand,1981-07,30012
Hong Kong,1981-07,28163
Japan,1981-07,18559
United Kingdom,1981-07,13405
Number Of Air Passenger Arrivals,1981-06,311813
Indonesia,1981-06,60599
Malaysia,1981-06,76649
Philippines,1981-06,10938
Thailand,1981-06,29103
Hong Kong,1981-06,28540
Japan,1981-06,16150
United Kingdom,1981-06,9572
Number Of Air Passenger Arrivals,1981-05,274595
Indonesia,1981-05,47329
Malaysia,1981-05,68966
Philippines,1981-05,12368
Thailand,1981-05,25813
Hong Kong,1981-05,25882
Japan,1981-05,14916
United Kingdom,1981-05,6994
Number Of Air Passenger Arrivals,1981-04,275944
Indonesia,1981-04,47367
Malaysia,1981-04,73075
Philippines,1981-04,12009
Thailand,1981-04,24476
Hong Kong,1981-04,25972
Japan,1981-04,13831
United Kingdom,1981-04,6357
Number Of Air Passenger Arrivals,1981-03,272334
Indonesia,1981-03,47339
Malaysia,1981-03,68487
Philippines,1981-03,11691
Thailand,1981-03,25935
Hong Kong,1981-03,25150
Japan,1981-03,17724
United Kingdom,1981-03,7141
Number Of Air Passenger Arrivals,1981-02,265569
Indonesia,1981-02,44635
Malaysia,1981-02,69548
Philippines,1981-02,12224
Thailand,1981-02,27481
Hong Kong,1981-02,26939
Japan,1981-02,14895
United Kingdom,1981-02,7447
Number Of Air Passenger Arrivals,1981-01,271695
Indonesia,1981-01,47955
Malaysia,1981-01,63787
Philippines,1981-01,11443
Thailand,1981-01,25707
Hong Kong,1981-01,25359
Japan,1981-01,14114
United Kingdom,1981-01,8077
Number Of Air Passenger Arrivals,1980-12,316631
Indonesia,1980-12,56084
Malaysia,1980-12,86517
Philippines,1980-12,11505
Thailand,1980-12,29333
Hong Kong,1980-12,28023
Japan,1980-12,15051
United Kingdom,1980-12,9892
Number Of Air Passenger Arrivals,1980-11,275384
Indonesia,1980-11,46955
Malaysia,1980-11,72452
Philippines,1980-11,12436
Thailand,1980-11,26789
Hong Kong,1980-11,25834
Japan,1980-11,14418
United Kingdom,1980-11,8789
Number Of Air Passenger Arrivals,1980-10,267687
Indonesia,1980-10,48099
Malaysia,1980-10,63628
Philippines,1980-10,11366
Thailand,1980-10,27591
Hong Kong,1980-10,26876
Japan,1980-10,12262
United Kingdom,1980-10,11020
Number Of Air Passenger Arrivals,1980-09,250091
Indonesia,1980-09,45011
Malaysia,1980-09,63051
Philippines,1980-09,8364
Thailand,1980-09,20409
Hong Kong,1980-09,22564
Japan,1980-09,13588
United Kingdom,1980-09,11641
Number Of Air Passenger Arrivals,1980-08,298606
Indonesia,1980-08,55898
Malaysia,1980-08,75463
Philippines,1980-08,10186
Thailand,1980-08,25232
Hong Kong,1980-08,26334
Japan,1980-08,18323
United Kingdom,1980-08,12335
Number Of Air Passenger Arrivals,1980-07,271505
Indonesia,1980-07,51655
Malaysia,1980-07,62937
Philippines,1980-07,9620
Thailand,1980-07,23832
Hong Kong,1980-07,24201
Japan,1980-07,14945
United Kingdom,1980-07,13515
Number Of Air Passenger Arrivals,1980-06,264753
Indonesia,1980-06,49807
Malaysia,1980-06,68359
Philippines,1980-06,10616
Thailand,1980-06,23203
Hong Kong,1980-06,25429
Japan,1980-06,11312
United Kingdom,1980-06,9738
Number Of Air Passenger Arrivals,1980-05,246876
Indonesia,1980-05,42231
Malaysia,1980-05,63777
Philippines,1980-05,10828
Thailand,1980-05,21255
Hong Kong,1980-05,22446
Japan,1980-05,11675
United Kingdom,1980-05,6883
Number Of Air Passenger Arrivals,1980-04,240343
Indonesia,1980-04,41806
Malaysia,1980-04,66280
Philippines,1980-04,10824
Thailand,1980-04,22577
Hong Kong,1980-04,20006
Japan,1980-04,11894
United Kingdom,1980-04,6033
Number Of Air Passenger Arrivals,1980-03,246262
Indonesia,1980-03,41703
Malaysia,1980-03,64360
Philippines,1980-03,10679
Thailand,1980-03,23374
Hong Kong,1980-03,20298
Japan,1980-03,16146
United Kingdom,1980-03,7676
Number Of Air Passenger Arrivals,1980-02,227555
Indonesia,1980-02,40653
Malaysia,1980-02,56998
Philippines,1980-02,10375
Thailand,1980-02,21585
Hong Kong,1980-02,21541
Japan,1980-02,13094
United Kingdom,1980-02,6945
Number Of Air Passenger Arrivals,1980-01,235030
Indonesia,1980-01,41053
Malaysia,1980-01,59236
Philippines,1980-01,10120
Thailand,1980-01,21097
Hong Kong,1980-01,17639
Japan,1980-01,14636
United Kingdom,1980-01,8735
Number Of Air Passenger Arrivals,1979-12,267393
Indonesia,1979-12,47465
Malaysia,1979-12,69653
Philippines,1979-12,11149
Thailand,1979-12,25640
Hong Kong,1979-12,21196
Japan,1979-12,13800
United Kingdom,1979-12,8736
Number Of Air Passenger Arrivals,1979-11,244982
Indonesia,1979-11,42590
Malaysia,1979-11,63275
Philippines,1979-11,11214
Thailand,1979-11,24428
Hong Kong,1979-11,21878
Japan,1979-11,14665
United Kingdom,1979-11,9052
Number Of Air Passenger Arrivals,1979-10,237348
Indonesia,1979-10,44982
Malaysia,1979-10,58678
Philippines,1979-10,9522
Thailand,1979-10,22410
Hong Kong,1979-10,20660
Japan,1979-10,11994
United Kingdom,1979-10,10896
Number Of Air Passenger Arrivals,1979-09,224760
Indonesia,1979-09,42000
Malaysia,1979-09,55686
Philippines,1979-09,8430
Thailand,1979-09,18844
Hong Kong,1979-09,18053
Japan,1979-09,12517
United Kingdom,1979-09,10787
Number Of Air Passenger Arrivals,1979-08,252611
Indonesia,1979-08,52245
Malaysia,1979-08,60416
Philippines,1979-08,8970
Thailand,1979-08,21709
Hong Kong,1979-08,18662
Japan,1979-08,15464
United Kingdom,1979-08,11418
Number Of Air Passenger Arrivals,1979-07,239553
Indonesia,1979-07,44257
Malaysia,1979-07,58905
Philippines,1979-07,8470
Thailand,1979-07,21563
Hong Kong,1979-07,19462
Japan,1979-07,13069
United Kingdom,1979-07,12267
Number Of Air Passenger Arrivals,1979-06,231142
Indonesia,1979-06,47048
Malaysia,1979-06,57523
Philippines,1979-06,9036
Thailand,1979-06,21272
Hong Kong,1979-06,19339
Japan,1979-06,10860
United Kingdom,1979-06,9646
Number Of Air Passenger Arrivals,1979-05,209815
Indonesia,1979-05,37878
Malaysia,1979-05,53838
Philippines,1979-05,9031
Thailand,1979-05,19116
Hong Kong,1979-05,16438
Japan,1979-05,10079
United Kingdom,1979-05,6696
Number Of Air Passenger Arrivals,1979-04,214303
Indonesia,1979-04,39896
Malaysia,1979-04,56033
Philippines,1979-04,9527
Thailand,1979-04,19596
Hong Kong,1979-04,16568
Japan,1979-04,9495
United Kingdom,1979-04,6007
Number Of Air Passenger Arrivals,1979-03,205632
Indonesia,1979-03,40066
Malaysia,1979-03,53022
Philippines,1979-03,9092
Thailand,1979-03,18653
Hong Kong,1979-03,15783
Japan,1979-03,10651
United Kingdom,1979-03,6903
Number Of Air Passenger Arrivals,1979-02,184416
Indonesia,1979-02,34618
Malaysia,1979-02,42192
Philippines,1979-02,9198
Thailand,1979-02,19739
Hong Kong,1979-02,16943
Japan,1979-02,9756
United Kingdom,1979-02,6227
Number Of Air Passenger Arrivals,1979-01,208225
Indonesia,1979-01,40214
Malaysia,1979-01,48485
Philippines,1979-01,8963
Thailand,1979-01,20100
Hong Kong,1979-01,17665
Japan,1979-01,9264
United Kingdom,1979-01,9061
Number Of Air Passenger Arrivals,1978-12,232313
Indonesia,1978-12,46500
Malaysia,1978-12,56694
Philippines,1978-12,9052
Thailand,1978-12,22388
Hong Kong,1978-12,17034
Japan,1978-12,8927
United Kingdom,1978-12,9429
Number Of Air Passenger Arrivals,1978-11,215825
Indonesia,1978-11,41762
Malaysia,1978-11,53550
Philippines,1978-11,9882
Thailand,1978-11,23805
Hong Kong,1978-11,19921
Japan,1978-11,8328
United Kingdom,1978-11,8850
Number Of Air Passenger Arrivals,1978-10,209060
Indonesia,1978-10,44122
Malaysia,1978-10,47295
Philippines,1978-10,8569
Thailand,1978-10,22063
Hong Kong,1978-10,19434
Japan,1978-10,7781
United Kingdom,1978-10,10406
Number Of Air Passenger Arrivals,1978-09,202499
Indonesia,1978-09,44481
Malaysia,1978-09,47397
Philippines,1978-09,7400
Thailand,1978-09,18270
Hong Kong,1978-09,18018
Japan,1978-09,6265
United Kingdom,1978-09,10610
Number Of Air Passenger Arrivals,1978-08,229990
Indonesia,1978-08,56796
Malaysia,1978-08,50897
Philippines,1978-08,8049
Thailand,1978-08,19633
Hong Kong,1978-08,18346
Japan,1978-08,9284
United Kingdom,1978-08,11970
Number Of Air Passenger Arrivals,1978-07,205855
Indonesia,1978-07,44127
Malaysia,1978-07,46970
Philippines,1978-07,6415
Thailand,1978-07,18988
Hong Kong,1978-07,17574
Japan,1978-07,7811
United Kingdom,1978-07,12751
Number Of Air Passenger Arrivals,1978-06,195129
Indonesia,1978-06,42727
Malaysia,1978-06,45395
Philippines,1978-06,7273
Thailand,1978-06,19527
Hong Kong,1978-06,17455
Japan,1978-06,5391
United Kingdom,1978-06,8966
Number Of Air Passenger Arrivals,1978-05,191494
Indonesia,1978-05,40977
Malaysia,1978-05,45419
Philippines,1978-05,8101
Thailand,1978-05,19582
Hong Kong,1978-05,17851
Japan,1978-05,5894
United Kingdom,1978-05,6670
Number Of Air Passenger Arrivals,1978-04,188724
Indonesia,1978-04,42556
Malaysia,1978-04,45975
Philippines,1978-04,7170
Thailand,1978-04,18911
Hong Kong,1978-04,16676
Japan,1978-04,5722
United Kingdom,1978-04,5667
Number Of Air Passenger Arrivals,1978-03,183520
Indonesia,1978-03,39011
Malaysia,1978-03,44470
Philippines,1978-03,6890
Thailand,1978-03,18822
Hong Kong,1978-03,16581
Japan,1978-03,7262
United Kingdom,1978-03,6862
Number Of Air Passenger Arrivals,1978-02,168272
Indonesia,1978-02,34437
Malaysia,1978-02,42140
Philippines,1978-02,6763
Thailand,1978-02,16932
Hong Kong,1978-02,16104
Japan,1978-02,6372
United Kingdom,1978-02,6505
Number Of Air Passenger Arrivals,1978-01,187574
Indonesia,1978-01,42435
Malaysia,1978-01,40387
Philippines,1978-01,7063
Thailand,1978-01,18759
Hong Kong,1978-01,16579
Japan,1978-01,6517
United Kingdom,1978-01,8336
Number Of Air Passenger Arrivals,1977-12,213437
Indonesia,1977-12,53210
Malaysia,1977-12,48368
Philippines,1977-12,7445
Thailand,1977-12,19617
Hong Kong,1977-12,15270
Japan,1977-12,6051
United Kingdom,1977-12,8785
Number Of Air Passenger Arrivals,1977-11,187406
Indonesia,1977-11,38024
Malaysia,1977-11,48129
Philippines,1977-11,7186
Thailand,1977-11,20653
Hong Kong,1977-11,17358
Japan,1977-11,6260
United Kingdom,1977-11,9658
Number Of Air Passenger Arrivals,1977-10,177291
Indonesia,1977-10,37060
Malaysia,1977-10,40688
Philippines,1977-10,6709
Thailand,1977-10,19483
Hong Kong,1977-10,16426
Japan,1977-10,6626
United Kingdom,1977-10,8755
Number Of Air Passenger Arrivals,1977-09,172769
Indonesia,1977-09,37932
Malaysia,1977-09,41546
Philippines,1977-09,5350
Thailand,1977-09,14451
Hong Kong,1977-09,14271
Japan,1977-09,5787
United Kingdom,1977-09,9306
Number Of Air Passenger Arrivals,1977-08,199961
Indonesia,1977-08,46159
Malaysia,1977-08,45748
Philippines,1977-08,5203
Thailand,1977-08,17086
Hong Kong,1977-08,15869
Japan,1977-08,9011
United Kingdom,1977-08,11045
Number Of Air Passenger Arrivals,1977-07,182838
Indonesia,1977-07,43298
Malaysia,1977-07,42697
Philippines,1977-07,4891
Thailand,1977-07,15333
Hong Kong,1977-07,13788
Japan,1977-07,7402
United Kingdom,1977-07,10892
Number Of Air Passenger Arrivals,1977-06,170447
Indonesia,1977-06,38704
Malaysia,1977-06,41869
Philippines,1977-06,5149
Thailand,1977-06,15225
Hong Kong,1977-06,14741
Japan,1977-06,6008
United Kingdom,1977-06,8159
Number Of Air Passenger Arrivals,1977-05,161790
Indonesia,1977-05,33608
Malaysia,1977-05,41696
Philippines,1977-05,4847
Thailand,1977-05,16051
Hong Kong,1977-05,12544
Japan,1977-05,6155
United Kingdom,1977-05,6529
Number Of Air Passenger Arrivals,1977-04,164168
Indonesia,1977-04,35952
Malaysia,1977-04,42731
Philippines,1977-04,5207
Thailand,1977-04,15234
Hong Kong,1977-04,14995
Japan,1977-04,5697
United Kingdom,1977-04,5104
Number Of Air Passenger Arrivals,1977-03,161478
Indonesia,1977-03,35582
Malaysia,1977-03,40967
Philippines,1977-03,4839
Thailand,1977-03,17442
Hong Kong,1977-03,16059
Japan,1977-03,6334
United Kingdom,1977-03,5431
Number Of Air Passenger Arrivals,1977-02,147337
Indonesia,1977-02,31965
Malaysia,1977-02,36957
Philippines,1977-02,4444
Thailand,1977-02,16522
Hong Kong,1977-02,14377
Japan,1977-02,6427
United Kingdom,1977-02,5429
Number Of Air Passenger Arrivals,1977-01,167788
Indonesia,1977-01,35306
Malaysia,1977-01,39365
Philippines,1977-01,4582
Thailand,1977-01,18465
Hong Kong,1977-01,15513
Japan,1977-01,5671
United Kingdom,1977-01,7997
Number Of Air Passenger Arrivals,1976-12,191285
Indonesia,1976-12,46879
Malaysia,1976-12,49371
Philippines,1976-12,5213
Thailand,1976-12,18101
Hong Kong,1976-12,15655
Japan,1976-12,5038
United Kingdom,1976-12,6860
Number Of Air Passenger Arrivals,1976-11,158555
Indonesia,1976-11,31236
Malaysia,1976-11,41597
Philippines,1976-11,5234
Thailand,1976-11,17584
Hong Kong,1976-11,14358
Japan,1976-11,6016
United Kingdom,1976-11,8034
Number Of Air Passenger Arrivals,1976-10,156788
Indonesia,1976-10,31793
Malaysia,1976-10,37704
Philippines,1976-10,4587
Thailand,1976-10,16573
Hong Kong,1976-10,14866
Japan,1976-10,5633
United Kingdom,1976-10,7864
Number Of Air Passenger Arrivals,1976-09,154373
Indonesia,1976-09,33663
Malaysia,1976-09,37540
Philippines,1976-09,3603
Thailand,1976-09,14917
Hong Kong,1976-09,11562
Japan,1976-09,5927
United Kingdom,1976-09,9356
Number Of Air Passenger Arrivals,1976-08,174385
Indonesia,1976-08,39812
Malaysia,1976-08,42102
Philippines,1976-08,3798
Thailand,1976-08,16887
Hong Kong,1976-08,13455
Japan,1976-08,6091
United Kingdom,1976-08,9263
Number Of Air Passenger Arrivals,1976-07,155606
Indonesia,1976-07,34114
Malaysia,1976-07,37877
Philippines,1976-07,3803
Thailand,1976-07,14743
Hong Kong,1976-07,13077
Japan,1976-07,5014
United Kingdom,1976-07,9857
Number Of Air Passenger Arrivals,1976-06,147230
Indonesia,1976-06,33630
Malaysia,1976-06,37831
Philippines,1976-06,3744
Thailand,1976-06,15001
Hong Kong,1976-06,12360
Japan,1976-06,3923
United Kingdom,1976-06,7320
Number Of Air Passenger Arrivals,1976-05,147145
Indonesia,1976-05,31050
Malaysia,1976-05,36806
Philippines,1976-05,3899
Thailand,1976-05,15037
Hong Kong,1976-05,13136
Japan,1976-05,3779
United Kingdom,1976-05,5157
Number Of Air Passenger Arrivals,1976-04,144777
Indonesia,1976-04,32822
Malaysia,1976-04,38719
Philippines,1976-04,3861
Thailand,1976-04,14571
Hong Kong,1976-04,12749
Japan,1976-04,3889
United Kingdom,1976-04,4494
Number Of Air Passenger Arrivals,1976-03,142358
Indonesia,1976-03,31225
Malaysia,1976-03,36298
Philippines,1976-03,4052
Thailand,1976-03,14655
Hong Kong,1976-03,11851
Japan,1976-03,4553
United Kingdom,1976-03,5143
Number Of Air Passenger Arrivals,1976-02,138978
Indonesia,1976-02,27988
Malaysia,1976-02,39237
Philippines,1976-02,3954
Thailand,1976-02,15026
Hong Kong,1976-02,12093
Japan,1976-02,5320
United Kingdom,1976-02,5238
Number Of Air Passenger Arrivals,1976-01,148025
Indonesia,1976-01,33114
Malaysia,1976-01,34972
Philippines,1976-01,3559
Thailand,1976-01,15345
Hong Kong,1976-01,12648
Japan,1976-01,4394
United Kingdom,1976-01,6605
Number Of Air Passenger Arrivals,1975-12,170856
Indonesia,1975-12,40249
Malaysia,1975-12,43524
Philippines,1975-12,3644
Thailand,1975-12,17176
Hong Kong,1975-12,13219
Japan,1975-12,4012
United Kingdom,1975-12,7382
Number Of Air Passenger Arrivals,1975-11,145183
Indonesia,1975-11,29628
Malaysia,1975-11,38453
Philippines,1975-11,4311
Thailand,1975-11,14991
Hong Kong,1975-11,13346
Japan,1975-11,4203
United Kingdom,1975-11,7285
Number Of Air Passenger Arrivals,1975-10,141101
Indonesia,1975-10,31579
Malaysia,1975-10,33850
Philippines,1975-10,3978
Thailand,1975-10,14503
Hong Kong,1975-10,12005
Japan,1975-10,3764
United Kingdom,1975-10,8569
Number Of Air Passenger Arrivals,1975-09,139073
Indonesia,1975-09,30534
Malaysia,1975-09,34739
Philippines,1975-09,3274
Thailand,1975-09,12347
Hong Kong,1975-09,11456
Japan,1975-09,3555
United Kingdom,1975-09,8378
Number Of Air Passenger Arrivals,1975-08,155478
Indonesia,1975-08,35126
Malaysia,1975-08,37912
Philippines,1975-08,3436
Thailand,1975-08,13641
Hong Kong,1975-08,12608
Japan,1975-08,5374
United Kingdom,1975-08,8108
Number Of Air Passenger Arrivals,1975-07,134183
Indonesia,1975-07,29909
Malaysia,1975-07,35070
Philippines,1975-07,3240
Thailand,1975-07,12598
Hong Kong,1975-07,10345
Japan,1975-07,4528
United Kingdom,1975-07,8393
Number Of Air Passenger Arrivals,1975-06,128888
Indonesia,1975-06,29288
Malaysia,1975-06,34437
Philippines,1975-06,3097
Thailand,1975-06,12214
Hong Kong,1975-06,10213
Japan,1975-06,3967
United Kingdom,1975-06,6617
Number Of Air Passenger Arrivals,1975-05,126822
Indonesia,1975-05,28998
Malaysia,1975-05,34055
Philippines,1975-05,3618
Thailand,1975-05,12529
Hong Kong,1975-05,9691
Japan,1975-05,3454
United Kingdom,1975-05,4482
Number Of Air Passenger Arrivals,1975-04,129237
Indonesia,1975-04,28528
Malaysia,1975-04,36895
Philippines,1975-04,3477
Thailand,1975-04,12481
Hong Kong,1975-04,9766
Japan,1975-04,3572
United Kingdom,1975-04,3892
Number Of Air Passenger Arrivals,1975-03,128896
Indonesia,1975-03,28687
Malaysia,1975-03,36080
Philippines,1975-03,3180
Thailand,1975-03,13129
Hong Kong,1975-03,8627
Japan,1975-03,4435
United Kingdom,1975-03,4806
Number Of Air Passenger Arrivals,1975-02,117525
Indonesia,1975-02,25859
Malaysia,1975-02,33614
Philippines,1975-02,2897
Thailand,1975-02,12413
Hong Kong,1975-02,7938
Japan,1975-02,4423
United Kingdom,1975-02,4799
Number Of Air Passenger Arrivals,1975-01,129839
Indonesia,1975-01,29453
Malaysia,1975-01,34259
Philippines,1975-01,2994
Thailand,1975-01,14070
Hong Kong,1975-01,7655
Japan,1975-01,3766
United Kingdom,1975-01,6316
Number Of Air Passenger Arrivals,1974-12,152456
Indonesia,1974-12,35092
Malaysia,1974-12,43113
Philippines,1974-12,3146
Thailand,1974-12,14003
Hong Kong,1974-12,9385
Japan,1974-12,3982
United Kingdom,1974-12,7909
Number Of Air Passenger Arrivals,1974-11,125167
Indonesia,1974-11,26124
Malaysia,1974-11,34757
Philippines,1974-11,3146
Thailand,1974-11,14003
Hong Kong,1974-11,8964
Japan,1974-11,3658
United Kingdom,1974-11,7075
Number Of Air Passenger Arrivals,1974-10,123795
Indonesia,1974-10,26734
Malaysia,1974-10,31591
Philippines,1974-10,3328
Thailand,1974-10,15046
Hong Kong,1974-10,8545
Japan,1974-10,3838
United Kingdom,1974-10,7093
Number Of Air Passenger Arrivals,1974-09,117991
Indonesia,1974-09,25247
Malaysia,1974-09,31494
Philippines,1974-09,2843
Thailand,1974-09,11860
Hong Kong,1974-09,7720
Japan,1974-09,3053
United Kingdom,1974-09,7314
Number Of Air Passenger Arrivals,1974-08,136623
Indonesia,1974-08,32144
Malaysia,1974-08,35690
Philippines,1974-08,3315
Thailand,1974-08,12800
Hong Kong,1974-08,9460
Japan,1974-08,3806
United Kingdom,1974-08,6599
Number Of Air Passenger Arrivals,1974-07,124890
Indonesia,1974-07,26041
Malaysia,1974-07,34608
Philippines,1974-07,3061
Thailand,1974-07,12228
Hong Kong,1974-07,8646
Japan,1974-07,3661
United Kingdom,1974-07,8646
Number Of Air Passenger Arrivals,1974-06,120309
Indonesia,1974-06,25944
Malaysia,1974-06,34263
Philippines,1974-06,3142
Thailand,1974-06,11106
Hong Kong,1974-06,8615
Japan,1974-06,3108
United Kingdom,1974-06,8032
Number Of Air Passenger Arrivals,1974-05,114174
Indonesia,1974-05,24956
Malaysia,1974-05,32195
Philippines,1974-05,3029
Thailand,1974-05,11347
Hong Kong,1974-05,8435
Japan,1974-05,3052
United Kingdom,1974-05,4835
Number Of Air Passenger Arrivals,1974-04,118574
Indonesia,1974-04,26260
Malaysia,1974-04,35747
Philippines,1974-04,3067
Thailand,1974-04,11207
Hong Kong,1974-04,8615
Japan,1974-04,3287
United Kingdom,1974-04,4618
Number Of Air Passenger Arrivals,1974-03,114903
Indonesia,1974-03,23871
Malaysia,1974-03,33210
Philippines,1974-03,2972
Thailand,1974-03,11246
Hong Kong,1974-03,8397
Japan,1974-03,3809
United Kingdom,1974-03,6359
Number Of Air Passenger Arrivals,1974-02,107737
Indonesia,1974-02,20872
Malaysia,1974-02,30798
Philippines,1974-02,2498
Thailand,1974-02,12030
Hong Kong,1974-02,7652
Japan,1974-02,4298
United Kingdom,1974-02,5725
Number Of Air Passenger Arrivals,1974-01,126613
Indonesia,1974-01,25329
Malaysia,1974-01,36667
Philippines,1974-01,2766
Thailand,1974-01,14131
Hong Kong,1974-01,8083
Japan,1974-01,3907
United Kingdom,1974-01,6612
Number Of Air Passenger Arrivals,1973-12,140413
Indonesia,1973-12,29594
Malaysia,1973-12,41803
Philippines,1973-12,2353
Thailand,1973-12,12625
Hong Kong,1973-12,9498
Japan,1973-12,3786
United Kingdom,1973-12,6663
Number Of Air Passenger Arrivals,1973-11,124820
Indonesia,1973-11,22572
Malaysia,1973-11,38444
Philippines,1973-11,2889
Thailand,1973-11,12395
Hong Kong,1973-11,9667
Japan,1973-11,4628
United Kingdom,1973-11,7720
Number Of Air Passenger Arrivals,1973-10,120407
Indonesia,1973-10,24055
Malaysia,1973-10,34118
Philippines,1973-10,2874
Thailand,1973-10,12781
Hong Kong,1973-10,10397
Japan,1973-10,4213
United Kingdom,1973-10,8363
Number Of Air Passenger Arrivals,1973-09,113284
Indonesia,1973-09,22513
Malaysia,1973-09,34199
Philippines,1973-09,2346
Thailand,1973-09,10401
Hong Kong,1973-09,7949
Japan,1973-09,3104
United Kingdom,1973-09,8100
Number Of Air Passenger Arrivals,1973-08,123210
Indonesia,1973-08,25857
