jet_fuel_usd_per_gallon,fuel_lag1,fuel_lag2,fuel_lag3,fuel_change_3m,fuel_change_6m,fuel_volatility_6m,gdp_per_capita,gdp_yoy_change,lcc_share,month,quarter,is_peak_season,log_arrivals_diff,country,year_month
0.9456,1.10075,1.3305,1.3912,-32.02990224266819,-39.41568426447976,0.19035207380011648,3521.46943457574,7.093398434207221,0.7096774193548387,1,1,0,-0.1690688654331378,Indonesia,2016-01-01
0.97225,0.9456,1.10075,1.3305,-26.925967681322817,-29.712633291162128,0.20949160365037373,3521.46943457574,7.093398434207221,0.7096774193548387,2,1,0,-0.0419072804379521,Indonesia,2016-02-01
1.071,0.97225,0.9456,1.10075,-2.7027027027026973,-23.5,0.18519578468926393,3521.46943457574,7.093398434207221,0.7096774193548387,3,1,0,0.1274008657030396,Indonesia,2016-03-01
1.1298,1.071,0.97225,0.9456,19.479695431472077,-18.78953421506614,0.13755067429862253,3521.46943457574,7.093398434207221,0.7096774193548387,4,2,0,-0.0527072206453862,Indonesia,2016-04-01
1.29225,1.1298,1.071,0.97225,32.91334533299049,-2.8748590755355186,0.12453765193709793,3521.46943457574,7.093398434207221,0.7096774193548387,5,2,0,0.0926605136804905,Indonesia,2016-05-01
1.38075,1.29225,1.1298,1.071,28.921568627450988,25.437201907790154,0.1740962188465683,3521.46943457574,7.093398434207221,0.7096774193548387,6,2,1,0.024913854913807,Indonesia,2016-06-01
1.2896,1.38075,1.29225,1.1298,14.144096300230146,36.37901861252115,0.15617793298031996,3521.46943457574,7.093398434207221,0.7096774193548387,7,3,1,0.00624038461984,Indonesia,2016-07-01
1.284,1.2896,1.38075,1.29225,-0.6384213580963305,32.06479814862433,0.116303652851799,3521.46943457574,7.093398434207221,0.7096774193548387,8,3,1,0.0164971938684885,Indonesia,2016-08-01
1.325,1.284,1.2896,1.38075,-4.037660691653089,23.71615312791784,0.08356733612286323,3521.46943457574,7.093398434207221,0.7096774193548387,9,3,0,-0.0701667727809987,Indonesia,2016-09-01
1.45975,1.325,1.284,1.2896,13.194013647642677,29.204283944060915,0.06952607724207792,3521.46943457574,7.093398434207221,0.7096774193548387,10,4,0,0.0304149095008678,Indonesia,2016-10-01
1.3515,1.45975,1.325,1.284,5.257009345794383,4.58502611723739,0.0657378252353342,3521.46943457574,7.093398434207221,0.7096774193548387,11,4,0,-0.0615844014927997,Indonesia,2016-11-01
1.4798,1.3515,1.45975,1.325,11.683018867924533,7.1736375158428345,0.08507054964364154,3521.46943457574,7.093398434207221,0.7096774193548387,12,4,1,0.1960602031943725,Indonesia,2016-12-01
1.51575,1.4798,1.3515,1.45975,3.836273334475071,17.53644540942927,0.09458097941272935,3798.88326174526,7.877786030050893,0.7096774193548387,1,1,0,-0.1694565529322318,Indonesia,2017-01-01
1.54125,1.51575,1.4798,1.3515,14.03995560488347,20.035046728971963,0.0881350407991678,3798.88326174526,7.877786030050893,0.7096774193548387,2,1,0,-0.0673411121128939,Indonesia,2017-02-01
1.4544,1.54125,1.51575,1.4798,-1.7164481686714472,9.766037735849054,0.06573431942299411,3798.88326174526,7.877786030050893,0.7096774193548387,3,1,0,0.1635618348243479,Indonesia,2017-03-01
1.50975,1.4544,1.54125,1.51575,-0.3958436417615063,3.425244048638443,0.06775815387590528,3798.88326174526,7.877786030050893,0.7096774193548387,4,2,0,-0.0196834411012591,Indonesia,2017-04-01
1.40925,1.50975,1.4544,1.54125,-8.564476885644778,4.2730299667036675,0.04779883541124015,3798.88326174526,7.877786030050893,0.7096774193548387,5,2,0,-0.024111893460839,Indonesia,2017-05-01
1.3116,1.40925,1.50975,1.4544,-9.8184818481848,-11.366400864981753,0.08574400270575339,3798.88326174526,7.877786030050893,0.7096774193548387,6,2,1,0.0377764099439925,Indonesia,2017-06-01
1.40875,1.3116,1.40925,1.50975,-6.689849312800133,-7.059211611413496,0.08213221454868347,3798.88326174526,7.877786030050893,0.7096774193548387,7,3,1,0.0087684710304198,Indonesia,2017-07-01
1.5335,1.40875,1.3116,1.40925,8.816746496363326,-0.5028386050283773,0.08024495467008698,3798.88326174526,7.877786030050893,0.7096774193548387,8,3,1,0.0044490308950262,Indonesia,2017-08-01
1.7836,1.5335,1.40875,1.3116,35.98658127477889,22.63476347634765,0.16333208936602384,3798.88326174526,7.877786030050893,0.7096774193548387,9,3,0,-0.0439014012089522,Indonesia,2017-09-01
1.653,1.7836,1.5335,1.40875,17.338065661047033,9.48832588176851,0.1762726373169435,3798.88326174526,7.877786030050893,0.7096774193548387,10,4,0,-0.0409649195654662,Indonesia,2017-10-01
1.751,1.653,1.7836,1.5335,14.18324095207042,24.250487848146186,0.18936876656408733,3798.88326174526,7.877786030050893,0.7096774193548387,11,4,0,-0.0232015836226775,Indonesia,2017-11-01
1.8114,1.751,1.653,1.7836,1.5586454361964375,38.1061299176578,0.1584923586486221,3798.88326174526,7.877786030050893,0.7096774193548387,12,4,1,0.1053188662908262,Indonesia,2017-12-01
1.948,1.8114,1.751,1.653,17.846339987900773,38.278615794143754,0.14164871690207115,3860.95353090726,1.6339083063448445,0.7096774193548387,1,1,0,-0.1172300620735882,Indonesia,2018-01-01
1.8625,1.948,1.8114,1.751,6.367789834380355,21.45418976198239,0.10020392041566821,3860.95353090726,1.6339083063448445,0.7096774193548387,2,1,0,-0.0716588677387264,Indonesia,2018-02-01
1.8616,1.8625,1.948,1.8114,2.771337087335768,4.37317784256559,0.10243898509195373,3860.95353090726,1.6339083063448445,0.7096774193548387,3,1,0,0.2006218139169195,Indonesia,2018-03-01
2.011,1.8616,1.8625,1.948,3.234086242299794,21.65759225650332,0.09335780095954838,3860.95353090726,1.6339083063448445,0.7096774193548387,4,2,0,-0.0089108363508092,Indonesia,2018-04-01
2.1545,2.011,1.8616,1.8625,15.677852348993282,23.043974871502005,0.12632697257514883,3860.95353090726,1.6339083063448445,0.7096774193548387,5,2,0,-0.0204868491391607,Indonesia,2018-05-01
2.0978000000000003,2.1545,2.011,1.8616,12.688010313708652,15.810974936513222,0.12134691865337538,3860.95353090726,1.6339083063448445,0.7096774193548387,6,2,1,0.0709397721742473,Indonesia,2018-06-01
2.0955,2.0978000000000003,2.1545,2.011,4.201889607160614,7.571868583162211,0.12616794230971987,3860.95353090726,1.6339083063448445,0.7096774193548387,7,3,1,0.0003941991700688,Indonesia,2018-07-01
2.118,2.0955,2.0978000000000003,2.1545,-1.6941285681132623,13.718120805369116,0.10646045275125389,3860.95353090726,1.6339083063448445,0.7096774193548387,8,3,1,-0.024392001371897,Indonesia,2018-08-01
2.18925,2.118,2.0955,2.0978000000000003,4.35932882066925,17.60045122475291,0.060792766154110695,3860.95353090726,1.6339083063448445,0.7096774193548387,9,3,0,-0.0326212804985139,Indonesia,2018-09-01
2.25975,2.18925,2.118,2.0955,7.838224767358626,12.369467926404765,0.06370001308216672,3860.95353090726,1.6339083063448445,0.7096774193548387,10,4,0,-0.0104562061831483,Indonesia,2018-10-01
1.972,2.25975,2.18925,2.118,-6.893295561850799,-8.470642840566256,0.09726407353181177,3860.95353090726,1.6339083063448445,0.7096774193548387,11,4,0,-0.0751404255102414,Indonesia,2018-11-01
